Table with row headers in column A and column headers in rows 17 through 18.,,,,,
Census 2000 PHC-T-18. American Indian and Alaska Native Tribes in the United States: 2000,,,,,
,,,,,
Description of Table 1.,,,,,
This table shows data for American Indian and Alaska Native tribes alone and alone or in combination for the United States.,,,,,
"Those respondents who reported as American Indian or Alaska Native only and one tribe are shown in column 1. Respondents who reported two or more American Indian or Alaska Native tribes, but no other race are shown in column 2. Those respondents who reported as American Indian or Alaska Native and at least one other race and one tribe are shown in column 3. Respondents who reported as American Indian or Alaska Native and at least one other race and two or more tribes are shown in column 4. Those respondents who reported as American Indian or Alaska Native in any combination of race(s) or tribe(s) are shown in column 5, and is the sum of the numbers in columns 1 through 4. For an explanation of the alone and alone or in combination concepts used in this table see ""The American Indian and Alaska Native Population: 2000"", U.S. Census Bureau, Census 2000 Brief, C2KBR/01-15 at www.census.gov/population/www/cen2000/briefs.html.",,,,,
"Table 1. American Indian and Alaska Native Alone and Alone or in Combination Population by Tribe/1
			  for the United States: 2000",,,,,
,,,,,
"Source: U.S. Census Bureau, Census 2000, special tabulation.  ",,,,,
Internet release date: September 2002,,,,,
"Last Revised date: June 30, 2004",,,,,
,,,,,
"Note: Respondents who identified themselves as American Indian or Alaska Native were asked to report their enrolled or principal tribe. Therefore, tribal data in this data product reflect the written tribal entries reported on the questionnaire. Some of the entries (for example, Iroquois, Sioux, Colorado River, and Flathead) represent nations or reservations. The information on tribe is based on self-identification and includes federally- or state-recognized tribes, as well as bands and clans. ",,,,,

"(For information on confidentiality protection, nonsampling error, and definitions, see www.census.gov/prod/cen2000/doc/sf1.pdf)",,,,,
Table with row headers in column A and column headers in rows 13 and 14,,,,,
American Indian and Alaska Native Tribes,"American Indian and
Alaska Native alone",,American Indian and Alaska Native in combination with one or more races,,American Indian and Alaska Native tribe alone or in any combination
,"One tribe
reported","Two or more
tribes reported","One tribe
reported","Two or more
tribes reported",
Paiute-Shoshone-----------------------------------------------------------------------------------------------------------------------------,"3,112",57,349,21,"3,539"
.Duck Valley-----------------------------------------------------------------------------------------------------------------------------------,120,15,11,1,147
.Fallon---------------------------------------------------------------------------------------------------------------------------------------------,532,3,36,1,572
.Fort McDermitt Paiute and Shoshone Tribes--------------------------------------------------------------------------------------,306,7,12,1,326
.Shoshone Paiute-----------------------------------------------------------------------------------------------------------------------------,"1,943",52,267,13,"2,275"
.Bishop------------------------------------------------------------------------------------------------------------------------------------------,157,-,9,-,166
.Lone Pine--------------------------------------------------------------------------------------------------------------------------------------,10,-,8,-,18
.Big Pine Band of Owens Valley Paiute-Shoshone------------------------------------------------------------------------------,33,2,6,5,46
Confederated Tribes of the Siletz Reservation----------------------------------------------------------------------------------------------------------------------------------------------,"1,909",37,732,29,"2,707"
Sioux---------------------------------------------------------------------------------------------------------------------------------------------,"108,272","4,794","35,179","5,115","153,360"
.Blackfoot Sioux------------------------------------------------------------------------------------------------------------------------------,412,26,914,67,"1,419"
.Brule Sioux------------------------------------------------------------------------------------------------------------------------------------,73,3,37,8,121
.Cheyenne River Sioux---------------------------------------------------------------------------------------------------------------------,"9,064",45,845,10,"9,964"
.Crow Creek Sioux---------------------------------------------------------------------------------------------------------------------------,"2,550",21,235,9,"2,815"
.Dakota Sioux----------------------------------------------------------------------------------------------------------------------------------,"1,739",237,674,146,"2,796"
.Flandreau Santee Sioux------------------------------------------------------------------------------------------------------------------,336,28,54,6,424
.Fort Peck Sioux-----------------------------------------------------------------------------------------------------------------------------,"2,233",13,136,3,"2,385"
.Lake Traverse Sioux-------------------------------------------------------------------------------------------------------------------------,21,1,8,-,30
.Lower Brule Sioux--------------------------------------------------------------------------------------------------------------------------,"1,687",18,197,2,"1,904"
.Lower Sioux Indian Community of Minnesota Mdewakanton Sioux--------------------------------------------------------------------,418,3,66,2,489
.Mdewakanton Sioux-------------------------------------------------------------------------------------------------------------------------,436,25,232,11,704
.Miniconjou---------------------------------------------------------------------------------------------------------------------------------------,35,2,16,1,54
.Oglala Sioux-------------------------------------------------------------------------------------------------------------------------------------,"22,157",582,"3,259",252,"26,250"
.Pine Ridge Sioux-----------------------------------------------------------------------------------------------------------------------------,771,51,162,14,998
.Pipestone Sioux------------------------------------------------------------------------------------------------------------------------------,1,1,-,-,2
.Prairie Island Sioux--------------------------------------------------------------------------------------------------------------------------,219,6,25,1,251
.Shakopee Mdewakanton Sioux Community (Prior Lake)-----------------------------------------------------------------------,95,9,37,-,141
.Rosebud Sioux---------------------------------------------------------------------------------------------------------------------------------,"14,037",139,"1,251",43,"15,470"
.Sans Arc Sioux---------------------------------------------------------------------------------------------,1,4,-,2,7
.Santee Sioux of Nebraska----------------------------------------------------------------------------------------------------------------,"1,987",130,698,54,"2,869"
